buyer_id,first_name,last_name,age,phone_number,method_of_purchase,payment_info,number_of_desired_tickets,image
1,Robin,Miller,55,+30 6982040301,debit,4706-4283-2760-8742,3,buyer_image_1.jpg
2,Avery,Miller,27,+30 6921830430,bank_account,4312-4428-8302-6936,2,buyer_image_2.jpg
3,Taylor,Smith,67,+30 6989067784,credit,4770-1173-2471-5237,2,buyer_image_3.jpg
4,Avery,Garcia,48,+30 6983551926,bank_account,4311-2139-9628-9224,1,buyer_image_4.jpg
5,Jordan,Garcia,48,+30 6935224016,bank_account,4604-1504-6950-4383,3,buyer_image_5.jpg
6,Alex,Davis,64,+30 6978698547,credit,4973-1603-8417-6216,1,buyer_image_6.jpg
7,Avery,Johnson,56,+30 6984697520,credit,4112-6647-9738-8309,5,buyer_image_7.jpg
8,Jordan,Anderson,57,+30 6990510879,credit,4017-9154-8314-8957,3,buyer_image_8.jpg
9,Morgan,Anderson,23,+30 6924399175,credit,4882-6957-6342-4348,1,buyer_image_9.jpg
10,Taylor,Miller,25,+30 6949522039,credit,4521-5344-4762-4505,3,buyer_image_10.jpg
11,Robin,Johnson,36,+30 6926513983,debit,4158-6771-4158-4566,2,buyer_image_11.jpg
12,Jamie,Martinez,44,+30 6927429886,credit,4482-8883-3719-3809,1,buyer_image_12.jpg
13,Jamie,Anderson,39,+30 6973687936,debit,4025-7144-2062-4366,5,buyer_image_13.jpg
14,Casey,Davis,18,+30 6969422541,bank_account,4432-9219-2150-1919,5,buyer_image_14.jpg
15,Dakota,Miller,20,+30 6914180026,bank_account,4397-7363-8486-1696,1,buyer_image_15.jpg
16,Morgan,Smith,56,+30 6936837909,credit,4643-5388-3369-4767,1,buyer_image_16.jpg
17,Dakota,Davis,23,+30 6949376335,debit,4471-4947-6872-4341,5,buyer_image_17.jpg
18,Alex,Smith,29,+30 6921251897,bank_account,4260-9457-3289-1421,3,buyer_image_18.jpg
19,Jordan,Brown,59,+30 6984245268,bank_account,4110-2131-4165-9726,4,buyer_image_19.jpg
20,Morgan,Davis,67,+30 6993184757,credit,4902-1566-8375-8775,2,buyer_image_20.jpg
21,Taylor,Davis,47,+30 6925485523,debit,4058-3963-2780-6881,2,buyer_image_21.jpg
22,Avery,Miller,58,+30 6985712233,debit,4457-1137-5643-1464,1,buyer_image_22.jpg
23,Robin,Miller,57,+30 6983869131,credit,4031-8138-6487-2043,1,buyer_image_23.jpg
24,Jamie,Davis,32,+30 6953011891,bank_account,4864-8240-5194-2227,2,buyer_image_24.jpg
25,Jordan,Martinez,19,+30 6943756340,debit,4038-5706-9873-6055,2,buyer_image_25.jpg
26,Jamie,Anderson,51,+30 6912853339,bank_account,4427-2233-8190-8174,3,buyer_image_26.jpg
27,Alex,Lee,34,+30 6927757761,credit,4310-6538-7394-4086,4,buyer_image_27.jpg
28,Avery,Taylor,63,+30 6918523627,credit,4563-9417-7983-1267,1,buyer_image_28.jpg
29,Dakota,Taylor,35,+30 6968412352,debit,4523-8822-2707-7907,5,buyer_image_29.jpg
30,Morgan,Garcia,50,+30 6944320712,debit,4950-4322-6676-9698,2,buyer_image_30.jpg
31,Avery,Smith,36,+30 6921988823,bank_account,4847-9798-8562-4848,4,buyer_image_31.jpg
32,Avery,Smith,29,+30 6990385674,debit,4663-4812-2566-9523,3,buyer_image_32.jpg
33,Morgan,Anderson,48,+30 6962640055,debit,4602-6125-6543-5774,1,buyer_image_33.jpg
34,Alex,Brown,24,+30 6955668669,bank_account,4638-2174-1239-3571,3,buyer_image_34.jpg
35,Alex,Martinez,33,+30 6967558738,credit,4234-8147-6654-9402,3,buyer_image_35.jpg
36,Jordan,Lee,68,+30 6984668540,credit,4033-5808-4519-6578,4,buyer_image_36.jpg
37,Jordan,Brown,44,+30 6990005227,debit,4101-3665-1745-7471,1,buyer_image_37.jpg
38,Morgan,Davis,69,+30 6937011592,credit,4513-6269-5789-6365,2,buyer_image_38.jpg
39,Alex,Anderson,47,+30 6975548296,bank_account,4611-8253-5942-8668,4,buyer_image_39.jpg
40,Alex,Garcia,49,+30 6969550059,debit,4237-8957-6863-3495,2,buyer_image_40.jpg
