owner_id,first_name,last_name,age,phone_number,method_of_purchase,payment_info,total_charge,owner_image
1,Jordan,Johnson,19,+30 6974080673,bank_account,4883-9968-1653-2805,0.0,owner_image_1.jpg
2,Morgan,Garcia,63,+30 6921267534,bank_account,4833-2126-9040-5696,0.0,owner_image_2.jpg
3,Avery,Miller,24,+30 6965438040,credit,4826-9495-3734-6669,0.0,owner_image_3.jpg
4,Taylor,Johnson,24,+30 6923024197,bank_account,4870-9672-5183-7525,0.0,owner_image_4.jpg
5,Charlie,Martinez,58,+30 6996887951,credit,4306-4194-5914-7996,0.0,owner_image_5.jpg
6,Taylor,Garcia,53,+30 6931068175,bank_account,4374-4816-9316-1161,0.0,owner_image_6.jpg
7,Casey,Martinez,31,+30 6998183013,bank_account,4152-2150-5801-8510,0.0,owner_image_7.jpg
8,Morgan,Johnson,49,+30 6969280101,credit,4942-3960-1470-2384,0.0,owner_image_8.jpg
9,Robin,Brown,63,+30 6954698826,credit,4955-8238-4952-4583,0.0,owner_image_9.jpg
10,Avery,Taylor,32,+30 6997724959,debit,4928-9397-3571-2999,0.0,owner_image_10.jpg
11,Jordan,Lee,59,+30 6942799734,credit,4410-6144-7605-9186,0.0,owner_image_11.jpg
12,Jordan,Lee,26,+30 6910499611,debit,4923-3084-6577-4685,0.0,owner_image_12.jpg
13,Taylor,Johnson,49,+30 6918811533,credit,4487-3056-3364-7757,0.0,owner_image_13.jpg
14,Taylor,Lee,47,+30 6957054700,credit,4112-6363-1296-7922,0.0,owner_image_14.jpg
15,Dakota,Garcia,28,+30 6932670187,debit,4033-7425-5549-9027,0.0,owner_image_15.jpg
16,Casey,Johnson,59,+30 6938115034,bank_account,4332-8350-7137-8135,0.0,owner_image_16.jpg
17,Casey,Johnson,68,+30 6936840189,credit,4466-4350-9684-6649,0.0,owner_image_17.jpg
18,Morgan,Johnson,49,+30 6923886852,debit,4323-6552-1817-8043,0.0,owner_image_18.jpg
19,Casey,Martinez,47,+30 6930864319,bank_account,4756-1625-2919-1866,0.0,owner_image_19.jpg
20,Dakota,Johnson,58,+30 6930846719,bank_account,4487-2033-3862-6570,0.0,owner_image_20.jpg
21,Casey,Smith,44,+30 6981042194,credit,4398-5480-1166-1698,0.0,owner_image_21.jpg
22,Dakota,Martinez,34,+30 6926607438,debit,4129-8796-2240-7120,0.0,owner_image_22.jpg
23,Jordan,Brown,25,+30 6993156729,debit,4561-5451-4352-9833,0.0,owner_image_23.jpg
24,Jamie,Martinez,63,+30 6926833064,credit,4591-2059-1237-4305,0.0,owner_image_24.jpg
25,Casey,Taylor,24,+30 6951109047,bank_account,4934-3352-4510-4845,0.0,owner_image_25.jpg
26,Alex,Martinez,59,+30 6911901083,bank_account,4532-5527-5375-1520,0.0,owner_image_26.jpg
27,Casey,Lee,38,+30 6936708688,bank_account,4214-9772-3330-7122,0.0,owner_image_27.jpg
28,Alex,Johnson,19,+30 6992669804,credit,4238-7157-4952-6481,0.0,owner_image_28.jpg
29,Charlie,Lee,59,+30 6924736854,debit,4385-2567-9163-9991,0.0,owner_image_29.jpg
30,Casey,Miller,49,+30 6925287676,bank_account,4875-7477-8520-5350,0.0,owner_image_30.jpg
31,Jordan,Taylor,67,+30 6957966234,debit,4201-8040-9869-4774,0.0,owner_image_31.jpg
32,Casey,Davis,50,+30 6975774422,bank_account,4829-1327-3178-7725,0.0,owner_image_32.jpg
33,Jordan,Davis,65,+30 6988591593,debit,4103-5556-1146-6516,0.0,owner_image_33.jpg
34,Casey,Taylor,32,+30 6974980822,credit,4767-1840-8454-7421,0.0,owner_image_34.jpg
35,Robin,Lee,66,+30 6970337972,bank_account,4434-9608-5407-2078,0.0,owner_image_35.jpg
